"year","name","type"
1995,"Duck and Circumstance","performer"
1995,"Barney","performer"
1995,"Baby Bop & BJ","performer"
1995,"The Cast of Sesame Street","performer"
1995,"Oksana Baiul","performer"
1995,"All-4-One","performer"
1995,"Joseph Barbara","performer"
1995,"Timothy Gibbs","performer"
1995,"Thyme Lewis","performer"
1995,"Peter Reckell","performer"
1995,"Diego Serrano","performer"
1995,"Mark Valley","performer"
1995,"Joey Lawrence","performer"
1995,"Frank Diocpoulos","performer"
1995,"Ron Raines","performer"
1995,"Robert S. Woods","performer"
1995,"Jon Secada","performer"
1995,"Kelsey Grammer","performer"
1995,"Stars of Kidsongs","performer"
1995,"Puzzle Place Puppet Kids","performer"
1995,"Brandy","performer"
1995,"Ann B. Davis","performer"
1995,"Shawntel Smith","performer"
1995,"Rosemary Clooney","performer"
1995,"Bob Dorian","performer"
1995,"Nick Clooney","performer"
1995,"Shari Lewis","performer"
1995,"Lamb Chop","performer"
1995,"Charlie Horse","performer"
1995,"Hush Puppy","performer"
1995,"Fred the Baker","performer"
1995,"SeaBabies","performer"
1995,"Terrence Mann","performer"
1995,"Ben Vereen","performer"
1995,"Santa Claus","performer"
1995,"Captain America","performer"
1995,"Wolverine","performer"
1995,"Hootie the Owl","performer"
1995,"Muffy VanderBear","performer"
1996,"Bo Diddley","performer"
1996,"Deidre Hall","performer"
1996,"Joey Lawrence","performer"
1996,"Matthew Lawrence","performer"
1996,"Andrew Lawrence","performer"
1996,"The Cast of Sesame Street","performer"
1996,"Oksana Baiul","performer"
1996,"Elayne Boosler","performer"
1996,"Popeye","performer"
1996,"Olive Oyl","performer"
1996,"Lea Thompson","performer"
1996,"The Cast of Cats","performer"
1996,"Cruella De Vil","performer"
1996,"Dominique Dawes","performer"
1996,"Tucson Arizona Boys Chorus and The Red River/Rocky Top Cloggers","performer"
1996,"Barney","performer"
1996,"Baby Bop & BJ","performer"
1996,"The Coconauts Cast","performer"
1996,"Shirley Jones","performer"
1996,"Bob Dorian","performer"
1996,"Nick Clooney","performer"
1996,"Vanessa Williams","performer"
1996,"Fred the Baker","performer"
1996,"Shari Lewis","performer"
1996,"Lamb Chop","performer"
