"balloon","version_num","years_active","sponsor","designer","height","length","width","weight","helium_volume","handlers","type","manufacturer","designers","handling_lines"
"Uncle Sam",2,"2002-2006, 2008, 2010-2013","Macy's","Jennifer Palmer","39 feet",NA,NA,NA,NA,NA,"Giant Balloons","Raven Aerostar",NA,NA
"Underdog",1,"1965-1984","Total Television Productions (1965-1969)Macy's (1970-1984)",NA,"35 feet","63.6 feet","34.9 feet","320 lbs.","9,600 cubic ft.","30","Giant Balloons","Goodyear Tire and Rubber Company","William R. LudwickJoe Harris","30"
"Underdog",2,"1965-1966","Total Television Productions",NA,NA,NA,NA,NA,NA,NA,"Giant Balloons",NA,NA,NA
"Weebles",1,"1975-1978","Hasbro",NA,"40 feet","25 feet","25 feet","258 lbs.","14,500 cubic ft.","37","Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Weebles",2,"2004-2006","Playskool","Astrid Riemer",NA,NA,NA,NA,NA,NA,"Giant Balloons","Raven Aerostar",NA,NA
"Wild Thing",1,"1998-1999, 2002-2003","Bell Atlantic (1998-1999) HarperCollins Children's Books (2002-2003)","Manfred Bass & Maurice Sendak","41 1/2 feet","66 feet","28 1/2 feet",NA,"21,000 cubic ft.",NA,"Giant Balloons",NA,NA,NA
"Willie Red Bird",1,"1932","Macy's","Tony Sarg","46 Feet",NA,NA,NA,NA,NA,"Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Wobbly Head",1,"1928","Macy's","Tony Sarg",NA,NA,NA,NA,NA,NA,"Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Woody Woodpecker",1,"1982-1996","Walter Lantz Productions (1982-1985)Universal Studios (1986-1996)","Walter LantzNicholas Gamarello","75 feet","75 feet","45 feet","450 Ibs","9,600 cubic ft.","35","Giant Balloons",NA,NA,NA
"Yogi Bear",1,"1983-1985","Hanna-Barbera",NA,"65 Feet","65 Feet","32 Feet","400 lbs","13,000 Cubic ft","30","Giant Balloons",NA,NA,NA
"Young Man on the Flying Trapeze",1,"1945, 1947","Macy's","Elizabeth Rodgers",NA,NA,NA,NA,NA,NA,"Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"75th Anniversary Parade Stars",1,"2001","Macy's",NA,"25 feet","12 feet deep","24 feet","50 lbs.","1,260 cubic ft.","24","Novelty Balloons",NA,NA,NA
"ABC Bouncing Balls",1,"1988-2000, 2002-2003","Children's Television Workshop (1988-1999)Sesame Workshop (2000, 2002-2003)","Michael Frith","10 feet","10 feet","10 feet","8 lbs.","525 cubic ft.","4","Novelty Balloons","Raven Aerostar",NA,NA
"Acorn",1,"2015-2017, 2021-present","Twentieth Century Fox (2015-2017)Macy's (2021-present)","Joel Naprstek","21 feet",NA,NA,NA,NA,"24","Novelty Balloons",NA,NA,NA
"American Star Ornaments",1,"1985-1992","Macy's","Manfred Bass","10 feet","10 feet","10 feet","8 lbs","525 cubic ft.","4","Novelty Balloons",NA,NA,NA
"Americana Ornaments",1,"1996","Macy's",NA,"10 feet",NA,NA,"8 lbs.","525 cubic ft.","8","Novelty Balloons",NA,NA,NA
"Americana Spheres",1,"1999-2000, 2002-2008","Macy's",NA,NA,NA,NA,NA,NA,NA,"Novelty Balloons",NA,NA,NA
"Americana Spheres",2,"2018","Macy's",NA,"14 feet","14 feet","14 feet",NA,NA,"32","Novelty Balloons",NA,NA,NA
"Arrtle the Pirate",1,"1947-1948","Macy's","Elizabeth Rodgers","43 feet",NA,NA,NA,"4,000 cubic ft.","20","Novelty Balloons","Goodyear Tire and Rubber Company",NA,NA
"Arrtle the Pirate",2,"2007-2010, 2015, 2018, 2021 (Main Parade)2007-2010 (Macy's Holiday Parade)","Macy's","Jennifer Palmer","36 feet",NA,"24.5 feet",NA,"3,600 cubic feet.","28","Novelty Balloons","Raven Aerostar",NA,NA
"Baby Shark",1,"2022-present","Nickelodeon","Eric Hudspeth","25 feet (Baby Shark)",NA,NA,NA,NA,"24","Novelty Balloons",NA,NA,NA
"Baseball",1,"1991-1999, 2002-2006","Macy's",NA,NA,NA,NA,NA,NA,NA,"Novelty Balloons",NA,NA,NA
"Baseball",2,"2007-2014, 2016","Macy's",NA,"12 feet",NA,"12 feet",NA,"900 cubic ft.","16","Novelty Balloons",NA,NA,NA
"Basketball",1,"1991-2000, 2002-2003","Macy's",NA,NA,NA,NA,NA,NA,NA,"Novelty Balloons",NA,NA,NA
"Basketball",2,"2009-2012","Macy's",NA,"15 feet","15 feet","15 feet",NA,"1,766 cubic ft.",NA,"Novelty Balloons","Macy's Parade Studio",NA,NA
"Beach Ball Clusters",1,"2007-2011; 2014","Macy's",NA,"25 Feet",NA,NA,NA,"2,858 Cubic ft.",NA,"Novelty Balloons",NA,NA,NA
"Big Man Santa",1,"2009-2012 2009-2016 (Universal)","Universal Orlando Resort (2009-2010)Macy's (2011-2012)","Robin Hall","26 feet",NA,"21 feet",NA,NA,NA,"Novelty Balloons",NA,NA,NA
"Blue & White Macy's Stars",1,"2003-20062017-2019, 2021-2022","Macy's",NA,"25 feet","12 feet deep","24 feet","50 lbs.","1,650 cubic ft.","24","Novelty Balloons","Macy's Parade Studio",NA,NA
"Blue Macy's Starflakes",1,"2017-2019, 2021-2022","Macy's",NA,NA,NA,NA,NA,NA,NA,"Novelty Balloons",NA,NA,NA
"Blue Starflakes",1,"2019, 2021-2022","Macy's","Jerry Ospa","25 feet","12 feet deep","24 feet","50 lbs.",NA,"24","Novelty Balloons",NA,NA,NA
"Bob the Minion",1,"2017-Present (Universal's Holiday Parade)","Illumination Animation",NA,NA,NA,NA,NA,NA,"22","Novelty Balloons",NA,NA,NA
"Charlie, Kit & C.J. Holiday Elves",1,"2000-2006, 2008-2017 (Charlie), 2004-2017 (Kit and C.J)","The John Deere Company (2000)Macy's (2001-2017)",NA,"34 feet",NA,"18 feet","99 lbs","2,100 cubic ft.","21","Novelty Balloons",NA,NA,NA
"Christmas String of Lights",1,"2015-2016 (Universal)2017 (Main Parade)","Macy's","Kate Mulhauser",NA,NA,NA,NA,NA,NA,"Novelty Balloons",NA,NA,NA
"Cloe the Holiday Clown",1,"1994-2003 (Main Parade)2002-2004 (Macy's Holiday Parade)","Macy's","Manfred Bass","28.5 feet",NA,"18 feet",NA,"2,241 cubic ft.",NA,"Novelty Balloons",NA,NA,NA
"Cloe the Holiday Clown",2,"2005-2009, 2011-2012 (Main Parade)2005-2012 (Macy's Holiday Parade)","Macy's","Dany JonesJoel Naprstek","28.5 feet",NA,"18 feet",NA,"2,242 cubic ft.",NA,"Novelty Balloons",NA,NA,NA
"Cloe the Holiday Clown",3,"2014 (Main Parade)2014-2016 (Macy's Holiday Parade)","Universal Orlando Resort",NA,"25 feet",NA,"16 feet",NA,NA,NA,"Novelty Balloons",NA,NA,NA
"Cool Cats",1,"2023-present","Cool Cats","Simon Fisher","34 feet","36 feet","27 feet",NA,NA,NA,"Novelty Balloons","Macy's Parade Studio",NA,NA
"Dolly",1,"2022 (Main Parade)2017-2021 (Universal)","Universal Orlando Resort",NA,NA,NA,NA,NA,NA,"35","Novelty Balloons",NA,NA,NA
"Flower Ornaments",1,"1985-1995 (yellow ball)1985-1996 (red ball)1985-1997 (white ball)","Macy's","Manfred Bass",NA,NA,NA,NA,NA,NA,"Novelty Balloons",NA,NA,NA
"Flying Fish",1,"1950-1952","Macy's","Elizabeth Rodgers",NA,"60 feet",NA,NA,"6,500 cubic ft.",NA,"Novelty Balloons","Goodyear Tire and Rubber Company",NA,NA
"Flying Fish",2,"1953-1954","Macy's","Elizabeth Rodgers",NA,"60 feet",NA,NA,"6,500 cubic ft.",NA,"Novelty Balloons","Goodyear Tire and Rubber Company",NA,NA
"Flying Fish",3,"1996-1997, 1999-2001, 2003-2008, 2013","Macy's","Manfred Bass","22 feet","35 feet","19 feet","150 lbs.","3,770 cubic ft.","28","Novelty Balloons","Macy's Parade Studio",NA,"16"
"Football",1,"1991-2001","Macy's",NA,NA,NA,NA,NA,NA,NA,"Novelty Balloons",NA,NA,NA
"Football",2,"2006-2007, 2010-2011, 2014","Macy's",NA,NA,NA,NA,NA,NA,"24","Novelty Balloons",NA,NA,NA
"Football",3,"2013","Macy's",NA,NA,NA,NA,NA,NA,NA,"Novelty Balloons",NA,NA,NA
"FOX Sports",1,"2022","FOX Sports","Joey Ammons","25 feet","25 feet","10 feet",NA,NA,"40","Novelty Balloons",NA,NA,NA
"Freida the Dachshund",1,"1949-1951, 1953-1955","Macy's","Elizabeth Rodgers",NA,"63 feet",NA,"200 lbs.",NA,NA,"Novelty Balloons","Goodyear Tire and Rubber Company",NA,NA
"Freida the Dachshund",2,"2003-2005, 2009, 2011 (Main Parade)2003-2006 (Universal Studios)","Universal Orlando Resort (2003)Macy's (2004-2005, 2009, 2011)","Jennifer Palmer","21 feet","52 feet","14 feet",NA,"2,600 cubic ft.","14","Novelty Balloons","Raven Aerostar",NA,NA
"FriendsWithYou",1,"2018","FriendsWithYou",NA,"22 feet",NA,"30 feet",NA,NA,"32","Novelty Balloons",NA,"Samuel Albert BorksonArturo Sandoval III",NA
"Fujifilm",1,"1995","Fujifilm","Manfred Bass",NA,NA,NA,NA,NA,NA,"Novelty Balloons",NA,NA,NA
"Fujifilm",2,"1995-1997","Fujifilm",NA,NA,NA,NA,NA,NA,NA,"Novelty Balloons","Raven Aerostar",NA,NA
"Fujifilm",3,"1996","Fujifilm and Paramount Pictures/Warner Bros.","Manfred Bass",NA,NA,NA,NA,NA,NA,"Novelty Balloons",NA,NA,NA
"Fujifilm",4,"1997","Fujifilm","Manfred Bass",NA,NA,NA,NA,NA,NA,"Novelty Balloons",NA,NA,NA
"Gazer the Elf",1,"2011","Macy's","Keith Lapinig","34 feet",NA,"18 feet",NA,"2,100 cubic ft.",NA,"Novelty Balloons",NA,NA,NA
"Geometric Ornaments",1,"1985-1994, 1998","Macy's","Manfred Bass","10 feet","10 feet","10 feet","8 lbs","525 lbs","4","Novelty Balloons",NA,NA,NA
"Geometrics",1,"2009-2012","Macy's",NA,"16 Feet",NA,NA,NA,"1,700 Cubic ft",NA,"Novelty Balloons",NA,NA,NA
"Gold Macy's Starflakes",1,"2017-2019 (Main Parade)2017-Present (Universal's Holiday Parade Featuring Macy's)","Macy's",NA,"25 feet","14 feet","24 feet","50 lbs.",NA,"24","Novelty Balloons",NA,NA,NA
"Gold Macy's Tri-Star",1,"2008 (Main Parade)2011-2016 (Macy's Holiday Parade)","Macy's",NA,NA,NA,NA,NA,NA,NA,"Novelty Balloons",NA,NA,NA
"Gorgeous Gobbler",1,"1954-1957, 1959-1961","Macy's","William Ludwick","50 feet","45 feet",NA,"305 lbs.","13,500 cubic ft.","45","Novelty Balloons","Goodyear Tire and Rubber Company",NA,NA
"Gorgeous Gobbler",2,"2003","Macy's",NA,"23.5 feet","16.75 feet","18 feet",NA,NA,NA,"Novelty Balloons","Raven Aerostar",NA,NA
"Green ""Believe"" Star",1,"2008-2010","Macy's",NA,"25 feet","12 feet deep","24 feet","50 lbs.","1,650 Cubic ft",NA,"Novelty Balloons",NA,NA,NA
"Green Candy Cane",1,"2006-2009","Macy's",NA,NA,NA,NA,NA,NA,NA,"Novelty Balloons",NA,NA,NA
"Green Macy's Stars",1,"2008-2012, 2014-2016 (Macy's Holiday Parade)","Macy's",NA,"25 feet","12 feet deep","24 feet","50 lbs.",NA,"12","Novelty Balloons",NA,NA,NA
